id,url,last_modified,date,updated_by,responsible
pesquisador,https://www.sorocaba.unesp.br/#!/pesquisa/escritorio-de-apoio-a-pesquisa/pesquisador,Atualizada em 29/Jan/2025 16:41 por Aline Souza Magalhães - Responsável: Aline Souza Magalhães,29/Jan/2025,Aline Souza Magalhães,Aline Souza Magalhães
agencias-de-fomento,https://www.sorocaba.unesp.br/#!/pesquisa/escritorio-de-apoio-a-pesquisa/agencias-de-fomento,Atualizada em 21/Jul/2025 18:10 por Aline Souza Magalhães - Responsável: Aline Souza Magalhães,21/Jul/2025,Aline Souza Magalhães,Aline Souza Magalhães
treinamentos-e-manuais,https://www.sorocaba.unesp.br/#!/pesquisa/escritorio-de-apoio-a-pesquisa/treinamentos-e-manuais,Atualizada em 28/Fev/2025 19:15 por Aline Souza Magalhães - Responsável: Aline Souza Magalhães,28/Fev/2025,Aline Souza Magalhães,Aline Souza Magalhães
editais,https://www.sorocaba.unesp.br/#!/pesquisa/escritorio-de-apoio-a-pesquisa/editais,Atualizada em 04/Fev/2025 12:16 por Aline Souza Magalhães - Responsável: Aline Souza Magalhães,04/Fev/2025,Aline Souza Magalhães,Aline Souza Magalhães
grupos-de-pesquisa,https://www.sorocaba.unesp.br/#!/pesquisa/grupos-de-pesquisa,Atualizada em 22/Jul/2025 17:05 por Marcos Malaquias - Responsável: Aline Souza Magalhães,22/Jul/2025,Marcos Malaquias,Aline Souza Magalhães
parque-de-equipamentos,https://www.sorocaba.unesp.br/#!/pesquisa/parque-de-equipamentos,Not Found,Not Found,Not Found,Not Found
inicio,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/inicio,Atualizada em 18/Set/2025 11:48 por Célia Maria Damasio Leles - Responsável: Danilo,18/Set/2025,Célia Maria Damasio Leles,Danilo
equipamentos,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/equipamentos,Atualizada em 31/Mai/2019 09:23 por Nilson - Responsável: Nilson,31/Mai/2019,Nilson,Nilson
acesso-aos-equipamentos,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/acesso-aos-equipamentos,Atualizada em 26/Abr/2024 16:20 por Nilson - Responsável: Nilson,26/Abr/2024,Nilson,Nilson
normas-de-uso,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/normas-de-uso,Atualizada em 11/Mar/2015 11:51 por Nilson - Responsável: Nilson,11/Mar/2015,Nilson,Nilson
solicitacao-de-uso,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/solicitacao-de-uso,Atualizada em 08/Mai/2014 10:49 por Nilson - Responsável: Nilson,08/Mai/2014,Nilson,Nilson
comissao-de-gerenciamento,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/comissao-de-gerenciamento,Atualizada em 09/Mai/2013 10:50 por Nilson - Responsável: Nilson,09/Mai/2013,Nilson,Nilson
comissao-de-usuarios1526,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/comissao-de-usuarios1526,Not Found,Not Found,Not Found,Not Found
custos1476,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/custos1476,Atualizada em 15/Jun/2015 14:18 por Nilson - Responsável: Nilson,15/Jun/2015,Nilson,Nilson
contato,https://www.sorocaba.unesp.br/#!/pesquisa/multiusuario/contato,Atualizada em 31/Mai/2019 09:21 por Nilson - Responsável: Nilson,31/Mai/2019,Nilson,Nilson
laboratorio-de-analise-e-caracterizacao-de-amostras,https://www.sorocaba.unesp.br/#!/pesquisa/laboratorio-de-analise-e-caracterizacao-de-amostras,Atualizada em 23/Mai/2013 10:38 por Nilson - Responsável: Nilson,23/Mai/2013,Nilson,Nilson
